id;name;address;phone
1;Berkshire deliverables Customer;interface parsing;714.080.9046 x859
2;cross-platform;Practical Metal Tuna;(863) 328-1480 x1802
3;capability;Sleek;(582) 297-5229
4;Buckinghamshire;salmon Analyst;1-620-827-1600 x021
5;Codes specifically reserved for testing purposes transitional Cambridgeshire;Legacy Synergistic;(696) 455-1257 x498
6;Division Burgs Awesome;Beauty reinvent;(816) 174-5951 x075
7;system deliverables;Mobility;(010) 364-1698 x610
8;Handcrafted e-markets;input;(186) 307-9302 x5557
9;Specialist;Credit Card Account Row;1-168-290-0629 x91321
10;withdrawal bricks-and-clicks connecting;artificial intelligence distributed;1-553-531-9978
